,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O18,F2,0.9167167212,0.0444227698,0.00393591,0.2878989804,0.0304902854,0.1120646614,Posed
O19,F2,0.7988886245,0.2597495525,0.0188381871,0.1468455435,0.0396728548,0.1356316883,Posed
O20,F2,0.8742501447,0.0762054696,0.0074349931,0.0812664831,0.0283063705,0.1074052338,Posed
O1,F3,0.9354592603,0.0430710625,0.0038441687,0.3089342869,0.0306779895,0.1300320335,Posed
O2,F3,0.8823054077,0.0734378345,0.0040156809,0.2355587404,0.030583154,0.1324076538,Posed
O3,F3,0.9232659293,0.0336718552,0.0039017991,0.2575382521,0.0318191906,0.1353747169,Posed
O4,F3,0.8707357829,0.0706150401,0.0028533478,0.3504041601,0.0305970526,0.1356176244,Posed
O5,F3,0.9378625834,0.0328177794,0.0024863491,0.2908089788,0.0311257461,0.1350699825,Posed
O6,F3,0.960144519,0.0191978106,0.002511137,0.2699237626,0.0321746158,0.1342105035,Posed
O7,F3,0.9148417099,0.1494236174,0.0175268317,0.082703608,0.0455240515,0.1934945093,Posed
O8,F3,0.8207160301,0.2383393363,0.0229563964,0.1440042419,0.0438005289,0.2088563757,Posed
O9,F3,0.8483129529,0.0636078335,0.0067828453,0.2228849398,0.0329320576,0.1472199121,Posed
O10,F3,0.962947006,0.0180183267,0.0026396747,0.2619223617,0.0327180371,0.1351097644,Posed
O11,F3,0.7986575271,0.1099862643,0.0206192993,0.283334869,0.0343727934,0.1921211686,Posed
O12,F3,0.9482024859,0.030074148,0.0019057394,0.3106449119,0.0316382404,0.1353020478,Posed
O13,F3,0.7982156107,0.2350878729,0.0192657259,0.1416347668,0.0277023543,0.152026646,Posed
O14,F3,0.8094404184,0.2651247237,0.0202385329,0.158711417,0.0278416435,0.1925338952,Posed
O15,F3,0.8527547646,0.1753058672,0.0201839266,0.0851719084,0.0420643875,0.1944726591,Posed
O16,F3,0.8004729615,0.3026254839,0.022848225,0.1623669134,0.0287795914,0.1731599191,Posed
O17,F3,0.9252604064,0.047585344,0.0039458454,0.2069038917,0.0318083682,0.1366032889,Posed
O18,F3,0.941119342,0.0286834874,0.0034687095,0.3159910442,0.0310371611,0.1319804845,Posed
O19,F3,0.9730039633,0.0183718975,0.001901724,0.3385511572,0.0325126993,0.135605066,Posed
O20,F3,0.9209087312,0.048797319,0.0042917124,0.3124696161,0.0308710003,0.135210951,Posed
O1,F4,0.8744448379,0.1828664569,0.0162932587,0.0908630711,0.0340767844,0.1444373675,Posed
O2,F4,0.8657153498,0.0649700973,0.0031324569,0.3145779605,0.0290504579,0.1664339132,Posed
O3,F4,0.8268829658,0.1909745307,0.0152455985,0.0811214292,0.0302961873,0.1242890228,Posed
O4,F4,0.864079832,0.0831933382,0.0024126943,0.2291784195,0.0279504416,0.1656701301,Posed
